_key,Ts,co2ppmCorrected,co2ppmPureSens,humidity,pumpStatus,soilHum,soilTemp,temperature,z_counter
-MmkREEz_-lCLoOJXj7E,1635047764991,388.54163,518.50739,62.1,0,94,30.3125,32.9,0
-MmkRHs5ODb21W6i2PlQ,1635047779846,374.21362,499.97726,62.3,0,94,30.3125,32.9,1
-MmkRLUb0NHC6ptbJLAP,1635047794663,364.15198,509.1774,60.7,0,94,30.3125,32.9,2
-MmkRP60laiI43wA6PDe,1635047809474,391.07272,518.50739,61,0,94,30.3125,32.9,3
-MmkRSjDdpdKCcKHzLjr,1635047824334,385.39603,518.50739,60.4,0,94,30.3125,32.9,4
-MmkRWLauZDEpt6-ZS_3,1635047839142,313.42117,376.64145,60.7,0,94,30.3125,32.9,5
-MmkRZyP3p_Udkw7_yR0,1635047853979,350.50623,499.97726,60.9,0,94,30.3125,32.9,6
-MmkRc_p_NPtYqubaQr9,1635047868790,356.22641,473.1423,61.3,0,94,30.3125,32.9,7
-MmkRgCfFWKwi2Vvd8Ol,1635047883628,349.26779,455.87631,61.5,0,92,30.3125,32.9,8
-MmkRjzlPLac9oaL_-TO,1635047899121,282.90265,341.19229,61.7,0,94,30.3125,32.9,9
-MmkRndEHVkJkMOdl_FJ,1635047914064,246.02882,355.0542,61.8,0,94,30.3125,32.9,10
-MmkRrGJIE3wjXNy3075,1635047928917,389.46082,518.50739,61.7,0,94,30.3125,32.9,11
-MmkRvE8kSgQePSPrW8l,1635047945161,318.69525,422.79416,61.1,0,94,30.3125,32.9,12
-MmkRyrKXxBLdO6W9Kpe,1635047960021,397.27026,537.56244,61.4,0,94,30.3125,32.9,13
-MmkS1UC14iV3VngLKam,1635047974862,403.29681,547.29016,61.9,0,94,30.3125,32.9,14
-MmkS56u_W8hLUmXxZqn,1635047989754,417.74789,537.56244,62,0,94,30.3125,32.9,15
-MmkS8lPVqxGELdeElid,1635048004699,403.05862,518.50739,62,0,94,30.3125,32.9,16
-MmkSCSChHdT3w0XCL1v,1635048019790,424.24188,567.15411,62.4,0,94,30.3125,32.9,17
-MmkSG7-nGfRjMAz-Vcg,1635048034816,316.30783,399.21048,62.2,0,94,30.3125,33,18
-MmkSJkV0KUFYqhj9YkV,1635048049697,315.56024,406.95731,62.6,0,94,30.3125,33,19
-MmkSNN1NoqfGZ5ZDRxl,1635048064514,360.35974,518.50739,62.3,0,94,30.3125,33,20
-MmkSQzt18qtKG512-RJ,1635048079353,408.78656,547.29016,62.3,0,94,30.3125,33.1,21
-MmkSUcrMxCQGzL6wxoF,1635048094263,424.05786,567.15411,62.3,0,94,30.3125,33,22
-MmkSYG1kk8bB-R2xYAp,1635048109123,423.12222,547.29016,62.5,0,94,30.3125,33.1,23
-MmkSb6fA_GTBYNNJmkB,1635048124908,328.5047,414.81818,62.2,0,94,30.3125,33,24
-MmkSeix_dHDlrv03TJe,1635048139710,424.37567,547.29016,62,0,94,30.3125,33.1,25
-MmkSiLQpIvboalb0GJL,1635048154524,425.56451,567.15411,61.7,0,94,30.3125,33,26
-MmkSlyHSkuxVhEFgeBw,1635048169362,418.55481,547.29016,61.5,0,94,30.3125,33,27
-MmkSpafNUVjWkrN8F52,1635048184235,396.86407,537.56244,61.4,0,94,30.375,33,28
-MmkStEDZ2j5ZEdxagCe,1635048199119,317.48141,422.79416,61.4,0,94,30.375,33.1,29
-MmkSwtbTxmZHtA0Jmtg,1635048214119,418.80194,547.29016,61.4,0,94,30.375,33,30
-MmkT-XGU_3QFCiy0cvp,1635048229010,426.06747,567.15411,61.5,0,94,30.3125,33,31
-MmkT3AQZdEUKMOoxu2A,1635048243931,410.90228,557.15369,61.6,0,94,30.3125,33,32
-MmkT6nCgEv6ZJyNM-Jr,1635048258766,432.66068,577.29297,61.9,0,93,30.375,33,33
-MmkTARPXio8Gt9nkXa2,1635048273691,439.84393,577.29297,62.1,0,94,30.375,33,34
-MmkTE3eeBbah5bwO4LY,1635048288554,438.61414,597.99194,62.4,0,94,30.375,33.1,35
-MmkTIBxg4AS9ZTh5bg-,1635048305469,462.54477,587.57159,62.3,0,94,30.375,33.1,36
-MmkTMZJBIQznWX4RYpu,1635048323348,423.12222,577.29297,62.5,0,94,30.375,33.1,37
-MmkTQBlv04JHu88RhpC,1635048338225,431.19632,608.55505,62.3,0,94,30.375,33.1,38
-MmkTU6YBBVwrdd8Ciwe,1635048354276,446.39273,597.99194,62.4,0,94,30.375,33.1,39
-MmkTXmgRhSepu8iWWjG,1635048369324,438.35471,597.99194,62.5,0,94,30.375,33.1,40
-MmkTaURaZoGth9c4cCB,1635048384477,423.62341,587.57159,62.3,0,94,30.375,33.1,41
-MmkTe6Ei1D89sPAcjvS,1635048399311,439.13342,619.26282,62.2,0,94,30.375,33.1,42
-MmkThjDReCS7qgzySN5,1635048414158,424.12482,577.29297,62.1,0,94,30.375,33.1,43
-MmkTlOXZgEniPlIaiXz,1635048429155,431.45151,587.57159,62.2,0,94,30.375,33.1,44
-MmkTp0iY85srfBYIY0d,1635048444014,424.37567,587.57159,62,0,94,30.375,33.1,45
-MmkTse9mtA4H_Ljryc2,1635048458890,427.39368,567.15411,60.8,0,94,30.375,33.1,46
-MmkTwHAOiF4I2gwA56T,1635048473740,390.73468,518.50739,60.8,0,94,30.375,33.1,47
-MmkTztvrcAbMBs1aSz2,1635048488571,419.85764,547.29016,60.8,0,94,30.375,33.1,48
-MmkU2mNchvSe0G1iFHQ,1635048504473,426.63785,577.29297,61.1,0,94,30.375,33.1,49
-MmkU6PNLUB4WQ7Og7J8,1635048519320,375.66089,567.15411,61.3,0,94,30.375,33.1,50
-MmkUA1CO-6ivxrcghYr,1635048534158,426.57083,547.29016,61.3,0,94,30.375,33,51
-MmkUDePB4zOlatb_GGG,1635048549019,448.17371,547.29016,61.9,0,94,30.375,33,52
-MmkUHIlbjb5RbIgCJ9p,1635048563953,417.32025,537.56244,62,0,94,30.375,33,53
-MmkUKwEqilEWHEBDT9H,1635048578832,424.30878,537.56244,62.2,0,94,30.375,33,54
-MmkUOaypNyObJOgnwhE,1635048593854,417.74789,481.96124,62,0,94,30.375,32.9,55
-MmkUSFccRfctLeasPiw,1635048608808,403.53513,537.56244,61.8,0,94,30.375,32.9,56
-MmkUVvk6vov00bmLk1n,1635048623856,426.25201,567.15411,61.6,0,94,30.375,32.9,57
-MmkUZYxO8msVX08NyZg,1635048638717,317.7565,422.79416,61.6,0,94,30.375,32.9,58
-MmkUcBn7yO5m7U253Ni,1635048653620,425.74887,567.15411,61.8,0,94,30.375,32.9,59
-MmkUfotatRi5Rw0NZ2V,1635048668474,425.49759,481.96124,61.9,0,94,30.375,32.9,60
-MmkUjRbkVVMqR8wv_Oq,1635048683303,463.56732,587.57159,62.1,0,94,30.375,33,61
-MmkUnc7m7ZC8iqEDXDi,1635048700424,447.83841,619.26282,62.2,0,94,30.375,32.9,62
-MmkUrFe3enRkC38x2yX,1635048715307,505.52646,619.26282,62.2,0,94,30.375,32.9,63
-MmkUusllXqgcEjc576U,1635048730161,432.33694,577.29297,62.2,0,94,30.375,32.9,64
-MmkUyWKatVZTsgnMc7_,1635048745046,411.80893,577.29297,61.4,0,94,30.375,32.9,65
-MmkV18Tx6O9sV55bsVP,1635048759903,490.50964,641.11749,61.5,0,94,30.375,32.9,66
-MmkV4lybKMg8r4EyhfR,1635048774782,427.00739,577.29297,61.3,0,94,30.375,32.9,67
-MmkV8OTIjdhH6j7Ow0h,1635048789598,413.26859,547.29016,60.8,0,94,30.375,32.9,68
-MmkVC0P-xhPgiIQgmDF,1635048804442,427.76355,567.15411,61,0,94,30.375,32.9,69
