_key,Ts,co2ppmCorrected,co2ppmPureSens,humidity,lightStats,pumpStatus,soilHum,soilTemp,temperature,z_counter
-MmuYxK5dRuM6fcjgxag,1635217560902,2960.99902,4047.84351,65.8,228,0,92,28.1875,31.9,1008
-MmuZ3avJ_bgKsxeuqB6,1635217590716,2513.49048,3265.88086,65.8,215,0,93,28.1875,31.9,1009
-MmuZB75TBmaZ4iuGenf,1635217621510,2357.61328,3224.25513,65.8,210,0,92,28.1875,31.9,1010
-MmuZIQOQ4OCDL0u3c46,1635217651417,3073.55859,3708.22827,65.8,227,0,92,28.1875,31.9,1011
-MmuZPhleyT-MFkMrmpz,1635217681265,2962.75684,3997.73462,65.7,224,0,92,28.1875,31.9,1012
-MmuZWzviXRe8BxN-O5H,1635217711099,2855.42505,3850.62231,65.6,227,0,92,28.1875,31.9,1013
-MmuZdGgD8pPjR1PDTkV,1635217740908,2927.7561,3948.16382,65.6,224,0,92,28.1875,31.9,1014
-MmuZkYiz6KXGLDpyZHz,1635217770735,2296.26099,3183.08447,65.9,231,0,92,28.1875,31.9,1015
-MmuZs3GcNiF5184WwbQ,1635217801489,2292.53711,3102.09155,66,211,0,93,28.1875,32,1016
-MmuZzKxEtvHQLZ5_4Ek,1635217831293,1394.15259,3022.86694,66.2,224,0,92,28.25,32,1017
-Mmu_5bm72y98uiO8KgG,1635217861106,2949.18188,3899.12866,66.3,224,0,92,28.25,32,1018
-Mmu_CtfAw8Ru7JSEQ8u,1635217890923,2975.98389,4306.68262,66.7,224,0,91,28.25,32.1,1019
-Mmu_KAJeGJwoUzU8aLx,1635217920725,2731.16797,3755.17725,66.4,224,0,92,28.25,32.1,1020
-Mmu_Rja6OAqsjq5BCu0,1635217951718,2922.2019,4149.70361,65.4,224,0,92,28.25,32.2,1021
-Mmu_ZI-BPv18xps4y_X,1635217982656,3067.7251,3850.62231,65.6,226,0,92,28.25,32.2,1022
-Mmu_fZzz6DHKvb2wWDE,1635218012479,2736.47583,3850.62231,65.9,224,0,92,28.25,32.2,1023
-Mmu_mr4-x58xsuUEQN5,1635218042310,2852.15088,3850.62231,65.1,233,0,92,28.25,32.3,1024
-Mmu_u867QpJKrro6Zih,1635218072135,2967.68164,3802.64185,64.9,238,0,92,28.3125,32.2,1025
-Mmua0PrXNVasoyDnIKH,1635218101944,2922.2019,3948.16382,65.4,239,0,92,28.3125,32.2,1026
-Mmua7gLWLBqs-4KmR6A,1635218131735,2205.89331,3393.53955,65.6,239,0,92,28.3125,32.2,1027
-MmuaFBWqgcfTyCVkwfo,1635218162466,2920.46753,3802.64185,65.5,240,0,92,28.3125,32.2,1028
-MmuaMTD2NjlxWSRB2HN,1635218192271,2781.01416,3948.16382,65.3,214,0,93,28.3125,32.2,1029
-MmuaTkER1s41IXxGDoE,1635218222095,2868.65698,3802.64185,64.3,226,0,92,28.3125,32.2,1030
-Mmuaa0s_TueANCml0IC,1635218251896,2977.78223,3850.62231,64.5,225,0,92,28.3125,32.1,1031
-MmuahJ6VeV0ttayqWMZ,1635218281735,2902.15601,3802.64185,64.8,219,0,92,28.3125,32,1032
-MmuaoercOspcWNlQp7q,1635218311863,2972.02417,4201.46631,65,221,0,92,28.375,32,1033
-MmuawBrv2yGO_jKthii,1635218342712,2972.02417,4253.7915,65,215,0,92,28.375,32,1034
-Mmub2TcFv7YiNcY_SQp,1635218372521,2851.24756,3850.62231,65.5,214,0,92,28.375,32.1,1035
-Mmub9l8vmzLs9KS-ijf,1635218402377,2303.81079,3570.40991,65,210,0,92,28.375,32.1,1036
-MmubH2ArSJE2dc2TH9K,1635218432204,2764.97461,3850.62231,64.5,209,0,92,28.375,32,1037
-MmubOJtjpk3Zg_h9_aA,1635218462009,2768.25,3802.64185,64.3,211,0,92,28.375,32,1038
-MmubVafEJ-GaTXRPZci,1635218491819,2800.42432,3755.17725,64.3,211,0,92,28.375,32.1,1039
-Mmubc6IP2-wCl_ITpnG,1635218522580,2843.77417,4047.84351,64,211,0,92,28.375,32,1040
-MmubjO36owS9MoecFw1,1635218552388,2803.74121,3755.17725,64.1,202,0,93,28.375,32.1,1041
-MmubqfQiMeit8ivvvt0,1635218582235,2696.52075,3708.22827,64.3,220,0,92,28.375,32.1,1042
-MmubxxC0ggYLa-_SENR,1635218612045,2565.09106,3661.78735,64,222,0,92,28.375,32.2,1043
-Mmuc4E5wRxWCcDN9U5Y,1635218641862,2765.84888,3661.78735,64.1,223,0,92,28.375,32.2,1044
-MmucBW10934TmyvLNPc,1635218671682,2840.07568,3615.84961,63.7,221,0,92,28.4375,32.3,1045
-MmucInCO8k1YN02mnFC,1635218701517,2769.56128,3615.84961,63.7,207,0,92,28.4375,32.3,1046
-MmucQJXnRe_ZgbWs-7t,1635218732323,2665.052,3708.22827,63.8,219,0,92,28.4375,32.3,1047
-MmucXaHMyjUh7HiYr4p,1635218762130,2634.61987,3661.78735,63.6,218,0,92,28.4375,32.3,1048
-MmuceEcU2dm4T7TKGdO,1635218793449,2631.50342,3708.22827,63.8,218,0,92,28.4375,32.3,1049
-MmuclWqYGqiOCeYlzZ-,1635218823287,2763.01123,3708.22827,64.1,209,0,92,28.4375,32.3,1050
-MmucsndFG2OznpQLq5f,1635218853097,2726.79199,3708.22827,64.2,211,0,92,28.4375,32.3,1051
-Mmud-4S74nPuIfn88LU,1635218882909,2767.92236,3708.22827,63.8,208,0,92,28.4375,32.3,1052
-Mmud6a1s_KQrRIG7Z2G,1635218913666,2772.40308,3708.22827,63.7,206,0,92,28.4375,32.2,1053
-MmudDrt5GXk34EsOsP2,1635218943481,2765.84888,3802.64185,64.1,202,0,92,28.5,32.2,1054
-MmudL8dHOZ7i3R59Tod,1635218973289,2802.52466,3708.22827,64,202,0,92,28.5,32.2,1055
-MmudT53nmxZWr2-nL7C,1635219005828,2250.65771,3022.86694,64.4,190,0,93,28.5,32.2,1056
-Mmud_Mf4gVeVy8jQdmE,1635219035628,2766.28491,3899.12866,63.9,202,0,92,28.5,32.3,1057
-Mmudgda8xL_092MzbRL,1635219065446,2760.17603,3615.84961,64.1,198,0,92,28.5,32.4,1058
-MmudoA6MvkHQFGyyJwr,1635219096263,2727.65405,3615.84961,63.8,201,0,92,28.5,32.5,1059
-MmudvRoqnPrikpNcYUi,1635219126069,2730.88647,3661.78735,63.6,183,0,92,28.5,32.5,1060
-Mmue1idjv2CaFRp3DpM,1635219155881,2661.1626,3570.40991,63.7,201,0,92,28.5,32.5,1061
-Mmue9-SNe7HhFH92Dts,1635219185693,2761.04834,3708.22827,63.7,201,0,92,28.5,32.6,1062
-MmueGHSCJg0lkNDoHr1,1635219215517,2759.41357,3708.22827,63.8,202,0,92,28.5,32.6,1063
